44;4958.00;10.88;1220.00;big
44;4967.00;14.45;1287.00;big
48;5043.00;9.50;1107.00;big
48;4931.00;9.50;1083.00;big
53;4898.00;12.70;1302.00;big
53;4799.00;12.40;1307.00;big
54;4893.00;11.05;1219.00;big
54;4856.00;12.68;1160.00;big
55;4799.00;13.25;1247.00;big
55;4770.00;13.75;1186.00;big
61;4870.00;12.35;1082.00;big
61;4922.00;15.05;1125.00;big
62;4820.00;12.70;1071.00;big
62;4833.00;10.23;1028.00;big
63;4786.00;11.65;1098.00;big
63;4713.00;11.60;1094.00;big
78;25.00;9.50;1565.00;big
78;5455.00;9.50;1734.00;big
